LVL,FLDNM,KNLESSONLANGNM,ESTB,SYLLABUS_DETAIL_URL,SBJTNM,DOWPD,LCTNM,ID
"2, 3, 4",専門教育科目美学美術史学専攻必修Ｄ,日本語,文/人美,detail?ttblyr=2023&entno=11677&lang=jp,芸術学Ｄ,月2,林 卓行,11677
"2, 3, 4",専門教育科目美学美術史学専攻必修Ｄ,日本語,文/人美,detail?ttblyr=2023&entno=81883&lang=jp,美学概論Ⅱ,月2,桑原 俊介,81883
"2, 3, 4",専門教育科目日本史学専攻選択必修Ｃ,日本語,文/人日,detail?ttblyr=2023&entno=66015&lang=jp,日本史演習ⅠＣ（セ）,月2,丸島 和洋,66015
"2, 3, 4",専門教育科目日本史学専攻研究会（３年生）,日本語,文/人日,detail?ttblyr=2023&entno=05570&lang=jp,日本史研究会Ⅰ（Ｇ）（セ）,月2,小山 幸伸,05570
"2, 3, 4",専門教育科目日本史学専攻研究会（４年生）,日本語,文/人日,detail?ttblyr=2023&entno=05929&lang=jp,日本史研究会Ⅲ（Ｇ）（セ）,月2,小山 幸伸,05929
"2, 3, 4",専門教育科目日本史学専攻選択必修Ｃ,日本語,文/人日,detail?ttblyr=2023&entno=65980&lang=jp,日本史演習ⅡＣ（セ）,月2,丸島 和洋,65980
"2, 3, 4",専門教育科目日本史学専攻研究会（３年生）,日本語,文/人日,detail?ttblyr=2023&entno=04774&lang=jp,日本史研究会Ⅱ（Ｇ）（セ）,月2,小山 幸伸,04774
"2, 3, 4",専門教育科目日本史学専攻研究会（４年生）,日本語,文/人日,detail?ttblyr=2023&entno=04497&lang=jp,日本史研究会Ⅳ（Ｇ）（セ）,月2,小山 幸伸,04497
"2, 3, 4",専門教育科目東洋史学専攻必修Ｂ,日本語,文/人東,detail?ttblyr=2023&entno=04812&lang=jp,東洋史講読ⅠＢ（要）,月2,藤木 健二,04812
"2, 3, 4",専門教育科目東洋史学専攻必修Ｂ,日本語,文/人東,detail?ttblyr=2023&entno=04831&lang=jp,東洋史講読ⅠＥ（要）,月2,五味 知子,04831
"2, 3, 4",専門教育科目東洋史学専攻必修Ｂ,日本語,文/人東,detail?ttblyr=2023&entno=99810&lang=jp,東洋史講読ⅡＢ（要）,月2,藤木 健二,99810
"2, 3, 4",専門教育科目東洋史学専攻必修Ｂ,日本語,文/人東,detail?ttblyr=2023&entno=99843&lang=jp,東洋史講読ⅡＥ（要）,月2,五味 知子,99843
"2, 3, 4",専門教育科目東洋史学専攻選択必修Ａ,日本語,文/人東,detail?ttblyr=2023&entno=02150&lang=jp,東洋史特殊ⅡＡ,月2,鈴木 均,02150
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=98464&lang=jp,西洋史特殊ⅠＢ,月2,宮田 絵津子,98464
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=01741&lang=jp,西洋史特殊ⅠＥ,月2,長谷川 岳男,01741
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=05307&lang=jp,西洋史特殊ⅠＩ,月2,立石 洋子,05307
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=09465&lang=jp,西洋史特殊ⅡＢ,月2,宮田 絵津子,09465
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=10628&lang=jp,西洋史特殊ⅡＥ,月2,長谷川 岳男,10628
"2, 3, 4",専門教育科目西洋史学専攻選択必修Ａ,日本語,文/人西,detail?ttblyr=2023&entno=11859&lang=jp,西洋史特殊ⅡＩ,月2,立石 洋子,11859
"2, 3, 4",専門教育科目民族学考古学専攻選択必修Ａ,日本語,文/人民,detail?ttblyr=2023&entno=04554&lang=jp,民族学考古学特殊ⅩⅩⅠ,月2,藤澤 綾乃,04554
"2, 3, 4",専門教育科目民族学考古学専攻選択必修Ａ,日本語,文/人民,detail?ttblyr=2023&entno=03266&lang=jp,民族学考古学特殊Ⅶ,月2,安藤 広道,03266
"2, 3, 4",専門教育科目民族学考古学専攻選択必修Ａ,日本語,文/人民,detail?ttblyr=2023&entno=09317&lang=jp,民族学考古学特殊Ⅵ,月2,山口 徹,09317
"2, 3, 4",専門教育科目民族学考古学専攻選択必修Ａ,日本語,文/人民,detail?ttblyr=2023&entno=09757&lang=jp,民族学考古学特殊Ⅷ,月2,安藤 広道,09757
"2, 3, 4",専門教育科目国文学専攻選択必修Ｃ,日本語,文/人国,detail?ttblyr=2023&entno=98373&lang=jp,国文学史Ⅰ,月2,小川 剛生,98373
"2, 3, 4",専門教育科目国文学専攻選択必修Ｄ,日本語,文/人国,detail?ttblyr=2023&entno=01263&lang=jp,国文学演習Ⅶ（セ）,月2,栗本 賀世子,01263
